"word","similarity to model[[c(""woman"", ""girl"", ""lady"", ""she"", ""her"", ""hers"")]]"
"woman",0.66282005430008
"hers",0.65844990423138
"girl",0.646835068442493
"lady",0.627622866460666
"she",0.563760589504381
"woman,",0.534278038207715
"girl,",0.533124835836577
"She",0.530008124002771
"her",0.500651505557592
"man",0.484590446986715
"boy",0.442136962979324
"herself",0.437294677134599
"guy",0.413549654465725
"girl.",0.406300453481371
"woman.",0.401404598287419
"woman's",0.396839022001659
"Her",0.390928500876013
"man,",0.388691659177804
"husband",0.387164667909911
"lady,",0.374440343745711
"child",0.371300920199514
"boyfriend",0.367003148337658
"beautiful",0.361292110387429
"lover",0.354750924931346
"person",0.354420667809091
"she's",0.351157177046237
"pretty",0.348227698014339
"young",0.335972988343306
"husband.",0.326505383828735
"girl's",0.325426936965919
"man's",0.325233841819877
"boy,",0.324982525852234
"widow",0.323367711225196
"hers,",0.321353159485764
"man.",0.321081991764854
"husband,",0.320277272132639
"orphan",0.319354839598734
"her,",0.317286694125423
"prostitute",0.316903392339873
"husband's",0.310620378685628
"herself,",0.3077447120978
"lonely",0.307494908674795
"baby",0.306290860749754
"someone",0.305754213021535
"herself.",0.3037473120292
"mother",0.299647739880751
"stranger",0.299539802025702
"maid",0.296928248652024
"daughter",0.295476662597871
"he",0.292137532931207
"Kavita,",0.292058345397776
"couple",0.289561134672992
"Roopa.",0.288990497762097
"Poornima",0.288217473703101
"pregnant",0.287521136619819
"handsome",0.287190021845861
"blonde",0.285901965044685
"rich",0.285740527798438
"raincoat.",0.285561290141383
"twenty-year-old",0.282964636246427
"Johan,",0.280877019044244
"beautiful,",0.280725490016771
"Floriane",0.280386801054571
"blind",0.280135712472086
"shawl",0.279282451921991
"beauty",0.278517246763881
"beggar",0.276730716232822
"nanny",0.27641187909873
"attractive",0.276216545157108
"waitress",0.274961958908258
"neighbor",0.274380710263898
"likes,",0.274268067225429
"He",0.273567801710678
"little",0.272022991614536
"prostitute,",0.271140151136949
"Marie,",0.270508124059435
"dress",0.269787465093232
"lady.",0.269759329480464
"poor",0.268949871964178
"boy.",0.268254395610889
"pregnancy",0.266442179374469
"baby,",0.265857080602631
"nun,",0.265503110625094
"She's",0.265136183134953
"boyfriend.",0.265127990395629
"who",0.265049078403883
"kind",0.264314827419765
"child,",0.263930720495211
"always",0.263350965655112
"catechism",0.262960943790982
"her.",0.262943622048933
"young,",0.26233552867257
"Marie",0.262256479791655
"nurse",0.261873959717237
"Abinash",0.261451442265654
"Enza",0.261280092589037
"Janice,",0.261022450917597
"Pooja",0.260936136770906
"actress",0.260576371197333
"Priya",0.259864958664049
"suitor",0.259335898059149
"old",0.258605760737456
"token.",0.258125067136611
"she'd",0.257467921863948
"classmate",0.256588954501507
"Herlof's",0.256148325984813
"Warrier",0.256095341782466
"lover.",0.255620915422219
"kid",0.255615297415425
"NRI.",0.255381144905874
"Deborah",0.255183630353833
"pretty,",0.254504001911939
"student,",0.254195351955943
"([[Radha",0.254161317953385
"dancer",0.253883874108886
"child.",0.253811281302604
"sister,",0.253677776291755
"Anjali",0.253028568970992
"potter",0.252538062743651
"photograph",0.252353839947948
"photo",0.252239476805224
"dress,",0.252038581103642
"Maya",0.251527992796657
"flagrante",0.251295679932699
"princess",0.251163043327108
"beautiful.",0.251100223534983
"Dang-zai",0.250932049824828
"commoner.",0.250385822426432
"customer",0.250369128354322
"businesswoman,",0.248364052475341
"sister",0.248319080631931
"Bernando",0.248135875683677
"ramen,",0.248006086311266
"married",0.247865123534238
"witch",0.247771945256639
"baby.",0.247113326393231
"age.",0.24710351237508
"kimono",0.247025302574928
"Bhola.",0.245683695577756
"mother,",0.245136819545631
"Pedro’s",0.24505362293431
"his,",0.244976358548653
"crying;",0.244968457652929
"Sagarika",0.244944471792079
"teenager,",0.244864857411778
"Visu",0.244497688474593
"schoolfriend",0.244382285574724
"Murali.",0.244346071835459
"daydreamer",0.244345802234063
"Lemalian",0.244101272986976
"aristocrat's",0.243352190998709
"daughter,",0.243025904599999
"waif",0.242997606961144
"pregnant,",0.242367867468509
"nice",0.242352519265219
"actress.",0.241692597868168
"Americus",0.24130423698831
"Mariko,",0.241006023796548
"servant",0.240846211142791
"neighbour",0.240524403026216
"pregnant.",0.240058059655222
"Amutha",0.239660140034546
"sixties.",0.239613661580689
"sweet",0.239370530909101
"victim",0.239306560168236
"doctor",0.239230845525111
"Kailashnath",0.239053102858312
"Anna",0.238989797192341
"charming",0.237769502086216
"Rahul’s",0.237593003880893
"kindly",0.237572452322149
"schoolgirl",0.237404222374845
"raped",0.237261891243283
"Shobha.",0.237097363184676
"Marie-José",0.236908587483294
"undresses,",0.23689323280669
"dancer,",0.236852919879205
"woman""",0.236802597749289
"She’s",0.236801456235253
"age",0.23672647295958
"mistress",0.236698233181234
"Kajal",0.236628714207369
"girl;",0.236375868939931
"Marijana",0.236367672211726
"orphan,",0.236181650142994
"pampers",0.235861371290992
"lesbian.",0.235625162133734
"midwife,",0.23498632595811
"fiance",0.234854010314222
"Jin-seong",0.234795682050244
"named",0.234588604792773
"thinks",0.234471318514665
"gown",0.234398181013312
"abortion",0.234290604669517
"youngster.",0.234100233733616
"male",0.233388139941573
"bubbly",0.233366807308217
"Lucía,",0.233340424780976
"Kanae",0.231999777623057
"Manuela",0.231836348325155
"waitress,",0.231504415761903
"suitor.",0.231147918588942
"pregnant;",0.230838903320542
"soft-spoken,",0.230642948988245
"Anupama",0.230555114571739
"crying",0.23040427159577
"love",0.23019600947409
"Tunde",0.229892537306032
"Maina",0.229869326496158
"teenager",0.22927039532133
"maid,",0.229074077828181
"patient",0.228822502044202
"Rajani",0.228765664910352
"Rahul",0.228615563762543
"of;",0.228595545649211
"Fouad",0.228490722967329
"sexy",0.228481741305814
"fifties,",0.22847629812611
"Devdas,",0.228354478348456
"Anne",0.228308142841607
"Lemora",0.227851216913443
"lesbian",0.227651574914221
"inadequacy",0.227625661871456
"bargirl",0.227473537923733
"Ji-hyeon",0.227420108291129
"Eun-Yi",0.227404057710315
"prettier",0.227360284454895
"Rahul.",0.227269678633104
"mother.",0.227071657801668
"she’s",0.22705665278951
"whom",0.227005546617356
"wig.",0.226887615760619
"Erzebet",0.226821494952968
"child:",0.226567902083643
"Eyre",0.22649074284655
"her;",0.226319794575634
"Angelica,",0.226281514648369
"Carola",0.226276395466888
"""Aunt",0.226171482417117
"menage",0.226084485233253
"co-respondent",0.22593292508212
"Ramiro,",0.225902746072568
"person.",0.225861735046784
"Novalee",0.22584901008505
"mysterious",0.225781433998527
"chambermaid",0.225364622815343
"remarrying",0.22525396843471
"Shiri",0.225179688041097
"marry",0.225138511620631
"Chinnamma",0.225057877763096
"boyfriend,",0.22504575789656
"affair",0.224948484036296
"courtesan",0.224865026867098
"talkative",0.224835199469616
"girls",0.224830419947947
"palsy",0.224801795128839
"claims",0.224781370200497
"stranger,",0.224654718956462
"gentleman",0.22463897544791
"Sindhu",0.22430389790392
"courtesan,",0.22424152727633
"dashing,",0.22423007661593
"wayward,",0.224146547205609
"wedlock,",0.224132010595639
"boyfriend's",0.22401954166878
"Sylvie",0.223864175076626
"Rendy,",0.223588939783148
"lesbian,",0.223408205389024
"ex-boyfriend",0.223287999402352
"Suvarna",0.223223869019622
"innocent",0.222992345435222
"stutter",0.22279951850987
"Toyo",0.222793723311248
"virgin",0.222732009605015
"baby's",0.222711263774839
"Sidlingu",0.222702146348314
"father",0.222672355664183
"aunt",0.222575630905966
"Zoe.",0.222553840645241
"sweet,",0.222545279925253
"elderly",0.222365509485686
"Gretchen,",0.222325837779336
"Gulabi",0.222305705361076
"Deivanai",0.222218083118013
"teenage",0.222196081937559
"fourteen-year-old",0.222082120118552
"Selma's",0.222080294915111
"Mary",0.222004476418388
"([[Riaz",0.221669094466817
"scribbles",0.221662828419756
"nude",0.221651485744257
"Tucita’s",0.221575793688252
"mirror,",0.221538884841735
"Fatima,",0.221479638845687
"saw",0.221392701140324
"jealous",0.221212494147032
"Antonia,",0.221177363729978
"promiscuous",0.221031520064587
"molested",0.220863806374277
"Soudamini",0.220837927386193
"sixteen,",0.220824759387236
"john",0.220466094185376
"Mùi",0.220400232959987
"women",0.220348877220011
"fell",0.22025964708422
"Celestine",0.220175352706046
"governess",0.220134399160855
"Jaha",0.220042323846833
"Tikku",0.219899370371013
"Briana",0.219894439591601
"heroine",0.219889602404253
"him",0.219797118179877
"Jahan’s",0.219795121429071
"Dalit",0.219694515858687
"Shimmer",0.219549057547108
"Ton",0.219501881742662
"Shruthi,",0.21934273225708
"prostitute.",0.219235451307436
"horoscope",0.219195560106781
"Usha.",0.219194887947865
"she,",0.219176737322104
"stillborn",0.219078380617266
"masseuse",0.218752835372284
"fairy,",0.218704244496507
"Anuradha,",0.218661968989318
"naive",0.218521149403299
"chirpy",0.218282901243402
"Roopa's",0.218032521400278
"teacher",0.217889090761894
"Shikha,",0.217832869338863
"stillborn,",0.217786868277686
"Tita,",0.217774721213587
"Shalu,",0.217714546221029
"Arpit",0.217659072020767
"girl,""",0.217302346260867
"wastrel",0.21729808198766
"Anil's",0.217218303211061
"lover,",0.217072536504153
"shy",0.217051650648304
"Aida",0.217026636852966
"Malaga",0.216992575637218
"two-story",0.216975571647373
"person,",0.216859715677419
"likes",0.216819038600234
"Tucita",0.216811065185048
"13-year",0.216676247575267
"age,",0.216665694571574
"Glaswegian",0.216642128013782
"flapper",0.216609281905856
"Gaby's",0.216435931499885
"loved,",0.21640439507879
"Muskaan,",0.216213038913316
"mirror",0.215813352669025
"Chanchu",0.215670917574274
"Questioning",0.215658019909786
"Giorgio,",0.215632440381444
"bridesmaid",0.215590846751451
"female",0.21541226743656
"Chellappa",0.215286880886951
"Chennabasappa",0.215085469664752
"breasts",0.214906693855648
"gold-digger,",0.214720517495096
"Marte",0.214682029034264
"Janaki,",0.214666552035791
"Unwillingly",0.214662225283633
"cajoling",0.214629274426142
"Amal,",0.214611850639133
"Champa,",0.214596397613581
"Geetha,",0.214578783933673
"Lise,",0.214439930989934
"Shagun",0.214384193742639
"wearing,",0.214119956387916
"housekeeper",0.213982006283827
"Thumbelina.",0.213839065173359
"omen.",0.213822615160661
"cute",0.213679105906098
"Fanny",0.213644256810951
"ghost",0.21355942313826
"Murali's",0.213290041212038
"Asha",0.213271572637334
"Meenakshi,",0.213244406934657
"Biltu",0.213203396787532
"defrauded",0.213195115115221
"she'll",0.213167474714716
"maid.",0.213050909680431
"Viren.",0.212953494225007
"gynecologist",0.212900580061152
"tom",0.212809914031878
"Nid,",0.212642860708098
"Gayathri,",0.212551329100948
"bikini.",0.212417382894394
"Naomi",0.212358256963319
"birth",0.212345335620119
"dumb,",0.212208367263975
"Paglu",0.212074659130955
"Senta",0.212045811316705
"Pallavi",0.211994136185285
"Trueba",0.211931481506099
"Nikhil",0.211809853211626
"loved",0.211809620904543
"Nandana",0.211778587705211
"marrying",0.211694408462966
"unwed",0.211627758688359
"soulmate,",0.211450205595913
"homeless",0.211341252785102
"bed",0.211290031401787
"sisters-in-law",0.211242787047938
"Magdalene,",0.211094607471385
"ex-husband",0.211015671892642
"Verónica",0.210992367273691
"actress,",0.210935088409983
"25-year-old",0.21083407174353
"barefoot,",0.210795802413116
"Lalita",0.21076258659616
"kissed",0.210726383815582
"Balamani",0.210682934739768
"sophisticated,",0.210677329664472
"jilted",0.210511701718997
"Karan",0.210382983703675
"Gelsomina",0.210211178229165
"suggestively",0.210208118104622
"Shalini's",0.210147440345784
"Julien.",0.210103144137085
"Sarita",0.210072462010382
"stepmother.",0.210039574220316
"friend",0.209976377340639
"Claire",0.20995880352847
"Mihir",0.209899477039589
"""Angel""",0.209743803835569
"Louise",0.209662904523892
"Mi-heun",0.209631676084093
"babysitting",0.209573820741581
"love,",0.209393458128561
"brat,",0.209286783217455
"loves",0.209234559147214
"tomboy",0.209221404830804
"Neeraj",0.209196137170486
"Hitty",0.209117577015427
"policeman",0.208867171740989
"Hanka",0.208671027147526
"bombshell",0.208608537868677
"marriage",0.208454965309108
"Sapna",0.208424588784965
"wardrobe",0.208405355772272
"Rasmina",0.208400059785041
"husband-to-be,",0.208357470597289
"aunt’s",0.208190429064127
"Nisha",0.208159614905877
"Kochu",0.208105743816614
"""beautiful",0.207858053646928
"boys;",0.207803940885293
"motherly",0.207715429864702
"disco,",0.207663493414277
"birthmark",0.207656832622413
"Sudhir,",0.207642909942689
"“his",0.207603438473056
"child's",0.207366117357869
"Sun-young",0.20717517306074
"abortion.",0.20706816396525
"Marni's",0.207054264756559
"tales.",0.206998674685051
"Sofia's",0.206963456476994
"abortionist.",0.206926935545699
"Saritaji",0.206832568970369
"Rawson",0.206819892186403
"mouth-to-mouth",0.206785141992288
"housewife",0.206747629544483
"peasant",0.206652706487354
"Élise",0.206574743038705
"Sarbani",0.206549773609776
"Amina,",0.206473902024072
"cakes.",0.206464926664298
"pretends",0.206417471683285
"Hansi",0.20637951163075
"Martha",0.206315959164179
"Malli,",0.206299408895413
"independent,",0.206298286632323
"saleswoman",0.206298022341713
"older",0.206288550703182
"mother:",0.206246877436154
"Deepali",0.206244851896689
"met",0.206182484834973
"Fanny,",0.206119450491962
"Violette",0.206118924319614
"adores,",0.205862567945616
"Gautham's",0.205746388868892
"Sanjukta",0.205648979162384
"puppy.",0.205537930670271
"Sonam",0.205502736411127
"Cuicui",0.205406317245797
"Sakhu",0.205405781012761
"extrovert",0.20534984247853
"madly",0.205328094741716
"grown-up,",0.205324221473037
"Veena's",0.20526269783474
"Edmond,",0.204801340586376
"Vasumathi",0.2047726428298
"Anne’s",0.204734121231792
"ailments.",0.204710478263116
"woman,""",0.204664991174688
